race_year,rain,driverId,qualification_position,constructor,circuit,type_circuit,driver,race_month,race_day,age_at_gp_in_days,days_since_first_race,circuit_nationality,driver_nationality,constructor_nationality,driver_home,constructor_home,laps,deviation_from_median
1993,0,102,5,McLaren,Circuit de Spa-Francorchamps,Race circuit,senna,8,29,12214,3444,BEL,BRA,GBR,0,0,44,90435.0
1993,0,117,1,Williams,Circuit de Spa-Francorchamps,Race circuit,prost,8,29,14066,4977,BEL,FRA,GBR,0,0,44,5660.0
1993,0,30,3,Benetton,Circuit de Spa-Francorchamps,Race circuit,michael_schumacher,8,29,9004,735,BEL,DEU,ITA,0,0,44,-5660.0
1993,0,71,2,Williams,Circuit de Spa-Francorchamps,Race circuit,damon_hill,8,29,12034,483,BEL,GBR,GBR,0,0,44,-9328.0
1993,0,55,3,Ferrari,Autodromo Nazionale di Monza,Race circuit,alesi,9,12,10685,1526,ITA,FRA,ITA,0,1,53,20006.0
1993,0,71,2,Williams,Autodromo Nazionale di Monza,Race circuit,damon_hill,9,12,12048,497,ITA,GBR,GBR,0,0,53,-20006.0
1993,0,117,2,Williams,Autódromo do Estoril,Race circuit,prost,9,26,14094,5005,PRT,FRA,GBR,0,0,71,-3612.0
1993,0,30,6,Benetton,Autódromo do Estoril,Race circuit,michael_schumacher,9,26,9032,763,PRT,DEU,ITA,0,0,71,-4594.0
1993,0,55,5,Ferrari,Autódromo do Estoril,Race circuit,alesi,9,26,10699,1540,PRT,FRA,ITA,0,0,71,63011.0
1993,0,71,1,Williams,Autódromo do Estoril,Race circuit,damon_hill,9,26,12062,511,PRT,GBR,GBR,0,0,71,3612.0
1993,1,102,2,McLaren,Suzuka Circuit,Race circuit,senna,10,24,12270,3500,JPN,BRA,GBR,0,0,53,-54834.0
1993,1,117,1,Williams,Suzuka Circuit,Race circuit,prost,10,24,14122,5033,JPN,FRA,GBR,0,0,53,-43398.0
1993,1,22,12,Jordan,Suzuka Circuit,Race circuit,barrichello,10,24,7824,224,JPN,BRA,IRL,0,0,53,40268.0
1993,1,56,8,Jordan,Suzuka Circuit,Race circuit,irvine,10,24,10210,0,JPN,GBR,IRL,0,0,53,51588.0
1993,1,57,3,McLaren,Suzuka Circuit,Race circuit,hakkinen,10,24,9157,959,JPN,FIN,GBR,0,0,53,-28704.0
1993,1,71,6,Williams,Suzuka Circuit,Race circuit,damon_hill,10,24,12090,539,JPN,GBR,GBR,0,0,53,28704.0
1993,0,102,1,McLaren,Adelaide Street Circuit,Street circuit,senna,11,7,12284,3514,AUS,BRA,GBR,0,0,79,-9259.0
1993,0,117,2,Williams,Adelaide Street Circuit,Street circuit,prost,11,7,14136,5047,AUS,FRA,GBR,0,0,79,0.0
1993,0,71,3,Williams,Adelaide Street Circuit,Street circuit,damon_hill,11,7,12104,553,AUS,GBR,GBR,0,0,79,24643.0
1994,0,30,2,Benetton,Autódromo José Carlos Pace,Race circuit,michael_schumacher,3,27,9214,945,BRA,DEU,ITA,0,0,71,0.0
1994,0,30,2,Benetton,Okayama International Circuit,Race circuit,michael_schumacher,4,17,9235,966,JPN,DEU,ITA,0,0,83,-37650.0
1994,0,77,5,Ferrari,Okayama International Circuit,Race circuit,berger,4,17,12652,3528,JPN,AUT,ITA,0,0,83,37650.0
1994,0,30,2,Benetton,Autodromo Enzo e Dino Ferrari,Race circuit,michael_schumacher,5,1,9249,980,ITA,DEU,ITA,0,1,58,-62810.0
1994,0,57,8,McLaren,Autodromo Enzo e Dino Ferrari,Race circuit,hakkinen,5,1,9346,1148,ITA,FIN,GBR,0,0,58,7868.0
1994,0,78,6,Ferrari,Autodromo Enzo e Dino Ferrari,Race circuit,larini,5,1,11000,2429,ITA,ITA,ITA,1,1,58,-7868.0
1994,0,91,10,Sauber,Autodromo Enzo e Dino Ferrari,Race circuit,wendlinger,5,1,9263,924,ITA,AUT,CHE,0,0,58,10848.0
1994,0,30,1,Benetton,Circuit de Monaco,Street circuit,michael_schumacher,5,15,9263,994,MCO,DEU,ITA,0,0,78,-37278.0
1994,0,77,3,Ferrari,Circuit de Monaco,Street circuit,berger,5,15,12680,3556,MCO,AUT,ITA,0,0,78,39546.0
1994,0,84,8,McLaren,Circuit de Monaco,Street circuit,brundle,5,15,12767,3703,MCO,GBR,GBR,0,0,78,0.0
1994,0,30,1,Benetton,Circuit de Barcelona-Catalunya,Race circuit,michael_schumacher,5,29,9277,1008,ESP,DEU,ITA,0,0,65,0.0
1994,0,71,2,Williams,Circuit de Barcelona-Catalunya,Race circuit,damon_hill,5,29,12307,756,ESP,GBR,GBR,0,0,65,-24166.0
1994,0,87,11,Tyrrell,Circuit de Barcelona-Catalunya,Race circuit,blundell,5,29,10278,1176,ESP,GBR,GBR,0,0,65,62803.0
1994,0,30,1,Benetton,Circuit Gilles Villeneuve,Street circuit,michael_schumacher,6,12,9291,1022,CAN,DEU,ITA,0,0,69,-56499.0
1994,0,55,2,Ferrari,Circuit Gilles Villeneuve,Street circuit,alesi,6,12,10958,1799,CAN,FRA,ITA,0,0,69,16839.0
1994,0,71,4,Williams,Circuit Gilles Villeneuve,Street circuit,damon_hill,6,12,12321,770,CAN,GBR,GBR,0,0,69,-16839.0
1994,0,77,3,Ferrari,Circuit Gilles Villeneuve,Street circuit,berger,6,12,12708,3584,CAN,AUT,ITA,0,0,69,19110.0
1994,0,30,3,Benetton,Circuit de Nevers Magny-Cours,Race circuit,michael_schumacher,7,3,9312,1043,FRA,DEU,ITA,0,0,72,-12642.0
1994,0,71,1,Williams,Circuit de Nevers Magny-Cours,Race circuit,damon_hill,7,3,12342,791,FRA,GBR,GBR,0,0,72,0.0
1994,0,77,5,Ferrari,Circuit de Nevers Magny-Cours,Race circuit,berger,7,3,12729,3605,FRA,AUT,ITA,0,0,72,40123.0
1994,0,22,6,Jordan,Silverstone Circuit,Race circuit,barrichello,7,10,8083,483,GBR,BRA,IRL,0,0,60,17358.0
1994,0,55,4,Ferrari,Silverstone Circuit,Race circuit,alesi,7,10,10986,1827,GBR,FRA,ITA,0,0,60,-16266.0
1994,0,57,5,McLaren,Silverstone Circuit,Race circuit,hakkinen,7,10,9416,1218,GBR,FIN,GBR,0,1,60,16266.0
1994,0,71,1,Williams,Silverstone Circuit,Race circuit,damon_hill,7,10,12349,798,GBR,GBR,GBR,1,1,60,-84394.0
1994,0,100,22,Larrousse,Hockenheimring,Race circuit,comas,7,31,11264,1239,DEU,FRA,FRA,0,0,45,31930.0
1994,0,103,14,Ligier,Hockenheimring,Race circuit,bernard,7,31,10933,1848,DEU,FRA,FRA,0,0,45,-8094.0
1994,0,104,17,Footwork,Hockenheimring,Race circuit,fittipaldi,7,31,8595,882,DEU,BRA,GBR,0,0,45,8094.0
1994,0,44,12,Ligier,Hockenheimring,Race circuit,panis,7,31,10194,126,DEU,FRA,FRA,0,0,45,-18736.0
1994,0,77,1,Ferrari,Hockenheimring,Race circuit,berger,7,31,12757,3633,DEU,AUT,ITA,0,0,45,-73515.0
1994,0,81,16,Footwork,Hockenheimring,Race circuit,morbidelli,7,31,9696,1603,DEU,ITA,GBR,0,0,45,17029.0
1994,0,30,1,Benetton,Hungaroring,Race circuit,michael_schumacher,8,14,9354,1085,HUN,DEU,ITA,0,0,77,-20827.0
1994,0,50,12,Benetton,Hungaroring,Race circuit,verstappen,8,14,8198,140,HUN,NLD,ITA,0,0,77,49502.0
1994,0,71,2,Williams,Hungaroring,Race circuit,damon_hill,8,14,12384,833,HUN,GBR,GBR,0,0,77,0.0
1994,0,14,7,Williams,Circuit de Spa-Francorchamps,Race circuit,coulthard,8,28,8555,91,BEL,GBR,GBR,0,0,44,44870.0
1994,0,50,6,Benetton,Circuit de Spa-Francorchamps,Race circuit,verstappen,8,28,8212,154,BEL,NLD,ITA,0,0,44,9536.0
1994,0,57,8,McLaren,Circuit de Spa-Francorchamps,Race circuit,hakkinen,8,28,9465,1267,BEL,FIN,GBR,0,0,44,-9536.0
1994,0,71,3,Williams,Circuit de Spa-Francorchamps,Race circuit,damon_hill,8,28,12398,847,BEL,GBR,GBR,0,0,44,-60917.0
1994,0,22,16,Jordan,Autodromo Nazionale di Monza,Race circuit,barrichello,9,11,8146,546,ITA,BRA,IRL,0,0,53,24994.0
1994,0,57,7,McLaren,Autodromo Nazionale di Monza,Race circuit,hakkinen,9,11,9479,1281,ITA,FIN,GBR,0,0,53,0.0
1994,0,71,3,Williams,Autodromo Nazionale di Monza,Race circuit,damon_hill,9,11,12412,861,ITA,GBR,GBR,0,0,53,-25640.0
1994,0,77,2,Ferrari,Autodromo Nazionale di Monza,Race circuit,berger,9,11,12799,3675,ITA,AUT,ITA,0,1,53,-20710.0
1994,0,84,15,McLaren,Autodromo Nazionale di Monza,Race circuit,brundle,9,11,12886,3822,ITA,GBR,GBR,0,0,53,59935.0
1994,0,14,3,Williams,Autódromo do Estoril,Race circuit,coulthard,9,25,8583,119,PRT,GBR,GBR,0,0,71,-23495.0
1994,0,22,8,Jordan,Autódromo do Estoril,Race circuit,barrichello,9,25,8160,560,PRT,BRA,IRL,0,0,71,3905.0
1994,0,50,10,Benetton,Autódromo do Estoril,Race circuit,verstappen,9,25,8240,182,PRT,NLD,ITA,0,0,71,5287.0
1994,0,57,4,McLaren,Autódromo do Estoril,Race circuit,hakkinen,9,25,9493,1295,PRT,FIN,GBR,0,0,71,-3905.0
1994,0,71,2,Williams,Autódromo do Estoril,Race circuit,damon_hill,9,25,12426,875,PRT,GBR,GBR,0,0,71,-24098.0
1994,0,84,7,McLaren,Autódromo do Estoril,Race circuit,brundle,9,25,12900,3836,PRT,GBR,GBR,0,0,71,28604.0
