date,weather
2013-05-12,Sunny
2013-05-26,Sunny
2013-06-09,Cloudy
2013-06-30,Sunny
2013-07-07,Sunny
2013-07-28,Sunny
2013-08-25,Overcast
2013-09-08,Overcast
2013-09-22,Night
2013-10-06,Overcast
2013-10-13,Sunny
2013-10-27,Overcast
2013-11-03,Night
2013-11-17,Sunny
2013-11-24,Overcast
2014-03-16,Overcast
2014-03-30,Sunny
2014-04-06,Night
2014-04-20,Overcast
2014-05-11,Cloudy
2014-05-25,Cloudy
2014-06-08,Sunny
2014-06-22,Cloudy
2014-07-06,Cloudy
2014-07-20,Overcast
2014-07-27,Changeable
2014-08-24,Cloudy
2014-09-07,Sunny
2014-09-21,Cloudy
2014-10-05,Rain
2014-10-12,Sunny
2014-11-02,Sunny
2014-11-09,Cloudy
2014-11-23,Night
2015-03-15,Sunny
2015-03-29,Cloudy
2015-04-12,Sunny
2015-04-19,Night
2015-05-10,Sunny
2015-05-24,Cloudy
2015-06-07,Cloudy
2015-06-21,Overcast
2015-07-05,Changeable
2015-07-26,Sunny
2015-08-23,Cloudy
2015-09-06,Sunny
2015-09-20,Night
2015-09-27,Cloudy
2015-10-11,Cloudy
2015-10-25,Overcast
2015-11-01,Sunny
2015-11-15,Cloudy
2015-11-29,Night
2016-03-20,Sunny
2016-04-03,Night
2016-04-17,Sunny
2016-05-01,Sunny
2016-05-15,Cloudy
2016-05-29,Very changeable
2016-06-12,Overcast
2016-06-19,Sunny
2016-07-03,Overcast
2016-07-10,Very changeable
2016-07-24,Sunny
2016-07-31,Overcast
2016-08-28,Cloudy
2016-09-04,Overcast
2016-09-18,Night
2016-10-02,Cloudy
2016-10-09,Cloudy
2016-10-23,Cloudy
2016-10-30,Cloudy
2016-11-13,Rain
2016-11-27,Night
2017-03-26,Sunny
2017-04-09,Overcast
2017-04-16,Night
2017-04-30,Sunny
2017-05-14,Cloudy
2017-05-28,Sunny
2017-06-11,Sunny
2017-06-25,Sunny
2017-07-09,Cloudy
2017-07-16,Overcast
2017-07-30,Sunny
2017-08-27,Cloudy
2017-09-03,Sunny
2017-09-17,Changeable
2017-10-01,Overcast
2017-10-08,Sunny
2017-10-22,Sunny
2017-10-29,Sunny
2017-11-12,Sunny
2017-11-26,Night
2018-03-25,Cloudy
2018-04-08,Night
2018-04-15,Sunny
2018-04-29,Overcast
2018-05-13,Cloudy
2018-05-27,Cloudy
2018-06-10,Cloudy
2018-06-24,Cloudy
2018-07-01,Sunny
2018-07-08,Sunny
2018-07-22,Changeable
2018-07-29,Sunny
2018-08-26,Cloudy
2018-09-02,Overcast
2018-09-16,Night
2018-09-30,Cloudy
2018-10-07,Cloudy
2018-10-21,Cloudy
2018-10-28,Cloudy
2018-11-11,Overcast
2018-11-25,Night
2019-03-17,Sunny
2019-03-31,Night
2019-04-14,Overcast
2019-04-28,Sunny
2019-05-12,Sunny
2019-05-26,Overcast
2019-06-09,Sunny
2019-06-23,Sunny
2019-06-30,Sunny
2019-07-14,Overcast
2019-07-28,Changeable
2019-08-04,Cloudy
2019-09-01,Cloudy
2019-09-08,Cloudy
2019-09-22,Night
2019-09-29,Sunny
2019-10-13,Sunny
2019-10-27,Sunny
2019-11-03,Sunny
2019-11-17,Cloudy
2019-12-01,Night
2020-07-05,Sunny
2020-07-12,Cloudy
2020-07-19,Overcast
2020-08-02,Cloudy
2020-08-09,Cloudy
2020-08-16,Cloudy
2020-08-30,Cloudy
2020-09-06,Sunny
2020-09-13,Sunny
2020-09-27,Sunny
2020-10-11,Cloudy
2020-10-25,Overcast
2020-11-01,Overcast
2020-11-15,Changeable
2020-11-29,Night
2020-12-06,Night
2020-12-13,Night
2021-03-28,Night
2021-04-18,Changeable
2021-05-02,Sunny
2021-05-09,Overcast
2021-05-23,Sunny
2021-06-06,Sunny
2021-06-20,Overcast
2021-06-27,Cloudy
2021-07-04,Overcast
2021-07-18,Sunny
2021-08-01,Changeable
2021-08-29,Rain
2021-09-05,Cloudy
2021-09-12,Sunny
2021-09-26,Changeable
2021-10-10,Changeable
2021-10-24,Sunny
2021-11-07,Sunny
2021-11-14,Sunny
2021-11-21,Night
2021-12-05,Night
2021-12-12,Night
2022-03-20,Night
2022-03-27,Night
